lib	unit	sample	fq1	fq2
lib2	1	OSF_E246	fastqs/lib2/OSF_E246_1.fq.gz	fastqs/lib2/OSF_E246_2.fq.gz
lib2	1	OSF_E348	fastqs/lib2/OSF_E348_1.fq.gz	fastqs/lib2/OSF_E348_2.fq.gz
lib2	1	OSF_E356	fastqs/lib2/OSF_E356_1.fq.gz	fastqs/lib2/OSF_E356_2.fq.gz
lib2	1	OSF_E357	fastqs/lib2/OSF_E357_1.fq.gz	fastqs/lib2/OSF_E357_2.fq.gz
lib2	1	PD1E_H02	fastqs/lib2/PD1E_H02_1.fq.gz	fastqs/lib2/PD1E_H02_2.fq.gz
lib2	1	DP1W_A01	fastqs/lib2/DP1W_A01_1.fq.gz	fastqs/lib2/DP1W_A01_2.fq.gz
lib2	1	DSBT_A01	fastqs/lib2/DSBT_A01_1.fq.gz	fastqs/lib2/DSBT_A01_2.fq.gz
lib2	1	DEEX_A02	fastqs/lib2/DEEX_A02_1.fq.gz	fastqs/lib2/DEEX_A02_2.fq.gz
lib2	1	WRH2_C01	fastqs/lib2/WRH2_C01_1.fq.gz	fastqs/lib2/WRH2_C01_2.fq.gz
lib2	1	WRH2_D01	fastqs/lib2/WRH2_D01_1.fq.gz	fastqs/lib2/WRH2_D01_2.fq.gz
lib2	1	WRH2_E01	fastqs/lib2/WRH2_E01_1.fq.gz	fastqs/lib2/WRH2_E01_2.fq.gz
lib2	1	WRH2_F01	fastqs/lib2/WRH2_F01_1.fq.gz	fastqs/lib2/WRH2_F01_2.fq.gz
lib2	1	WRH2_L01	fastqs/lib2/WRH2_L01_1.fq.gz	fastqs/lib2/WRH2_L01_2.fq.gz
lib2	1	WRBS_A02	fastqs/lib2/WRBS_A02_1.fq.gz	fastqs/lib2/WRBS_A02_2.fq.gz
lib2	1	WRBS_B01	fastqs/lib2/WRBS_B01_1.fq.gz	fastqs/lib2/WRBS_B01_2.fq.gz
lib2	1	WRBS_D01	fastqs/lib2/WRBS_D01_1.fq.gz	fastqs/lib2/WRBS_D01_2.fq.gz
lib2	1	KM_NWR_MC3_EM3_A1	fastqs/lib2/KM_NWR_MC3_EM3_A1_1.fq.gz	fastqs/lib2/KM_NWR_MC3_EM3_A1_2.fq.gz
lib2	1	KM_NWR_MC3_EM04_A1	fastqs/lib2/KM_NWR_MC3_EM04_A1_1.fq.gz	fastqs/lib2/KM_NWR_MC3_EM04_A1_2.fq.gz
lib2	1	KM_NWR_MC3_EM5_A1	fastqs/lib2/KM_NWR_MC3_EM5_A1_1.fq.gz	fastqs/lib2/KM_NWR_MC3_EM5_A1_2.fq.gz
lib2	1	KM_MC6_EM2_A1	fastqs/lib2/KM_MC6_EM2_A1_1.fq.gz	fastqs/lib2/KM_MC6_EM2_A1_2.fq.gz
lib2	1	KM_NWR_MC7_EM01_A1	fastqs/lib2/KM_NWR_MC7_EM01_A1_1.fq.gz	fastqs/lib2/KM_NWR_MC7_EM01_A1_2.fq.gz
lib2	1	KM_MC7_EM2_A1	fastqs/lib2/KM_MC7_EM2_A1_1.fq.gz	fastqs/lib2/KM_MC7_EM2_A1_2.fq.gz
lib2	1	KM_PEN_RD_EM8_A1	fastqs/lib2/KM_PEN_RD_EM8_A1_1.fq.gz	fastqs/lib2/KM_PEN_RD_EM8_A1_2.fq.gz
lib2	1	KM_PEN_RD_EM9_A1	fastqs/lib2/KM_PEN_RD_EM9_A1_1.fq.gz	fastqs/lib2/KM_PEN_RD_EM9_A1_2.fq.gz
lib2	1	KM_PEN_RD_EM10_A1	fastqs/lib2/KM_PEN_RD_EM10_A1_1.fq.gz	fastqs/lib2/KM_PEN_RD_EM10_A1_2.fq.gz
lib2	1	CHOL_EM7_A1	fastqs/lib2/CHOL_EM7_A1_1.fq.gz	fastqs/lib2/CHOL_EM7_A1_2.fq.gz
lib2	1	KM_NWR_DEVINE_EM01_A2	fastqs/lib2/KM_NWR_DEVINE_EM01_A2_1.fq.gz	fastqs/lib2/KM_NWR_DEVINE_EM01_A2_2.fq.gz
lib2	1	KM_NWR_DEVINE_EM02_A1	fastqs/lib2/KM_NWR_DEVINE_EM02_A1_1.fq.gz	fastqs/lib2/KM_NWR_DEVINE_EM02_A1_2.fq.gz
lib2	1	USGS_220449	fastqs/lib2/USGS_220449_1.fq.gz	fastqs/lib2/USGS_220449_2.fq.gz
lib2	1	USGS_220356	fastqs/lib2/USGS_220356_1.fq.gz	fastqs/lib2/USGS_220356_2.fq.gz
lib2	1	USGS_220341	fastqs/lib2/USGS_220341_1.fq.gz	fastqs/lib2/USGS_220341_2.fq.gz
lib2	1	USGS_211875	fastqs/lib2/USGS_211875_1.fq.gz	fastqs/lib2/USGS_211875_2.fq.gz
lib2	1	USGS_212263	fastqs/lib2/USGS_212263_1.fq.gz	fastqs/lib2/USGS_212263_2.fq.gz
lib2	1	USGS_211861	fastqs/lib2/USGS_211861_1.fq.gz	fastqs/lib2/USGS_211861_2.fq.gz
lib2	1	OSF_E20	fastqs/lib2/OSF_E20_1.fq.gz	fastqs/lib2/OSF_E20_2.fq.gz
lib2	1	OSF_E138	fastqs/lib2/OSF_E138_1.fq.gz	fastqs/lib2/OSF_E138_2.fq.gz
lib2	1	OSF_E139	fastqs/lib2/OSF_E139_1.fq.gz	fastqs/lib2/OSF_E139_2.fq.gz
lib2	1	OSF_E234	fastqs/lib2/OSF_E234_1.fq.gz	fastqs/lib2/OSF_E234_2.fq.gz
